FIPS:Block,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,FIPS:County,FIPS:State,Cantidad de Casos
010030103003071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010030111011036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010030113002007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010150004002024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010150015002030,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010150022001061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010150023004035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010150026001085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010210601024001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010210601025065,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010299598002025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010330206003078,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010330207011039,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010359605002028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010399623003005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010419637001005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010439641004030,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010439648004051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010439654012007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010450207002007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010479566002029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010510302004026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010510309023084,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010510313001015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010539707002016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010550104022003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010670302002013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010719510003019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010730020002004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010730024002246,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010730027001071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010730050002018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010730059051019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010730100011028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010730107052003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010730107064002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010730107064014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010730108052117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010730111042012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010730111102000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010730113023023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010730144081002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010730144122002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
010770101002000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
