FIPS:County,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,FIPS:Block,FIPS:State,Cantidad de Casos
01003,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
01015,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
01021,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
01029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01033,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
01035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01039,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01043,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
01045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01051,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
01053,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01055,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01067,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01073,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
01077,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
01079,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01081,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
01083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01087,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01089,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
01095,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01097,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
01101,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
01113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01115,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
01117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
