0,1,2
530459606002015,53045,53
410670317033016,41067,41
201730010004013,20173,20
060750207001000,06075,06
081230010042027,08123,08
400836002001098,40083,40
040135229011019,04013,04
201690012002040,20169,20
190570004001006,19057,19
420033001004005,42003,42
060770008012014,06077,06
480396644005002,48039,48
390499800001061,39049,39
191530052003098,19153,19
220710017352013,22071,22
490351011012000,49035,49
051399501003024,05139,05
490111254033024,49011,49
050850207002042,05085,05
481410004042015,48141,48
170419524002005,17041,17
060375361031000,06037,06
320030005251000,32003,32
350010004011035,35001,35
480139606003078,48013,48
515500214042004,51550,51
340230079061012,34023,34
480396635004007,48039,48
490351128232007,49035,49
180973604041011,18097,18
080050071042009,08005,08
270530259034017,27053,27
060952527072010,06095,06
220399502002088,22039,22
484679510003053,48467,48
060014415223001,06001,06
401010002001040,40101,40
060372060312019,06037,06
484391050013017,48439,48
040210017021006,04021,04
211539704001037,21153,21
250214228001008,25021,25
060650433081008,06065,06
484279502021024,48427,48
295101112001009,29510,29
330150033022022,33015,33
482299503001593,48229,48
481830011001030,48183,48
482199505002040,48219,48
484530024211024,48453,48
160659502001022,16065,16
245102003002001,24510,24
484391054041018,48439,48
081010009022022,08101,08
080310041043004,08031,08
270530215031002,27053,27
483059506001008,48305,48
060290044022008,06029,06
310550037003014,31055,31
040119602003019,04011,04
390490088222035,39049,39
483379504005062,48337,48
481576750001088,48157,48
060770033111004,06077,06
260810142002031,26081,26
401190106002005,40119,40
301110004022006,30111,30
482015421011040,48201,48
240054025041002,24005,24
420430245033025,42043,42
060710097083221,06071,06
260172803001028,26017,26
291892103001008,29189,29
060014017001020,06001,06
060133071022009,06013,06
130690104001066,13069,13
120730021011004,12073,12
120950135081006,12095,12
040133197031030,04013,04
040133197031030,04013,04
483090038014053,48309,48
471570088004011,47157,47
060710019032007,06071,06
401091072094001,40109,40
060650438023016,06065,06
370710318004003,37071,37
020200009013014,02020,02
484530017692018,48453,48
360870108013013,36087,36
120950136062018,12095,12
483379502001131,48337,48
230039526001081,23003,23
481130167014023,48113,48
471570223223005,47157,47
080459519023173,08045,08
530210201003022,53021,53
060855031132015,06085,06
011239624001138,01123,01
202090450001036,20209,20
420110020002004,42011,42
470179623004025,47017,47
040210007003000,04021,04
240054505043007,24005,24
484790016022017,48479,48
281419503002137,28141,28
410050241001029,41005,41
120860099062019,12086,12
040190044272035,04019,04
160010017004018,16001,16
490490032051014,49049,49
370710327021001,37071,37
290770018003010,29077,29
260450212011044,26045,26
250173151001051,25017,25
371190052003001,37119,37
484391135192025,48439,48
010730050002018,01073,01
010730020002004,01073,01
350279603001628,35027,35
180973605021006,18097,18
120090713221084,12009,12
220630406006047,22063,22
130670302342019,13067,13
131370002021004,13137,13
010510309023084,01051,01
420770001012000,42077,42
310550021001014,31055,31
550090004014018,55009,55
320030060014000,32003,32
121050122063015,12105,12
060750229011005,06075,06
280470018003040,28047,28
133219505001001,13321,13
181670014002053,18167,18
060590749012006,06059,06
450450032012004,45045,45
295101242002009,29510,29
040190011001026,04019,04
290190010011001,29019,29
370650211002011,37065,37
040120206022015,04012,04
260450205003004,26045,26
482014526002029,48201,48
280399503011010,28039,28
060372063002000,06037,06
171978820002006,17197,17
240450102003017,24045,24
040133201001034,04013,04
121270910172018,12127,12
060770001004010,06077,06
550790209002003,55079,55
060373116003013,06037,06
311090029002021,31109,31
550250019004022,55025,55
080310043044032,08031,08
040131116022011,04013,04
060590871061005,06059,06
401091070014010,40109,40
130890217052032,13089,13
371759604011006,37175,37
080810006001576,08081,08
120090626003013,12009,12
390351154002010,39035,39
220330031031017,22033,22
130510107001182,13051,13
060710017071001,06071,06
471570017001035,47157,47
060590746012002,06059,06
040159538001075,04015,04
010030103003071,01003,01
010730144122002,01073,01
110010068022004,11001,11
060552004002035,06055,06
290950129065004,29095,29
060710032006007,06071,06
060375348031004,06037,06
540090311023033,54009,54
550590011003002,55059,55
480291810012000,48029,48
281139501013004,28113,28
271230347013003,27123,27
370710317042011,37071,37
410290008001047,41029,41
370179503002026,37017,37
060750111003004,06075,06
483732103012055,48373,48
060670071051018,06067,06
040130719037001,04013,04
120730007002012,12073,12
060290016001092,06029,06
010799793004048,01079,01
390351165002005,39035,39
160270219032182,16027,16
120310115001032,12031,12
530730102002088,53073,53
060290037002509,06029,06
220519800001004,22051,22
400293881004068,40029,40
040019441005040,04001,04
040250020022000,04025,04
360730408012022,36073,36
180210402002017,18021,18
390490004202002,39049,39
060952501052046,06095,06
410510092013007,41051,41
361031460031032,36103,36
060855052022001,06085,06
517402129002017,51740,51
060855032132000,06085,06
550390403001048,55039,55
130670312072022,13067,13
450410019003022,45041,45
060376003043000,06037,06
040130715111000,04013,04
200910537072003,20091,20
060372942002013,06037,06
061110030101003,06111,06
540570102002131,54057,54
250250821003000,25025,25
060730171042000,06073,06
121113805006023,12111,12
060290006001037,06029,06
250277543001017,25027,25
210930009013061,21093,21
410390025013009,41039,41
120570111073006,12057,12
482012544001003,48201,48
240037406014032,24003,24
060376025042002,06037,06
340210027021018,34021,34
171610235002004,17161,17
401430003001002,40143,40
220790115002029,22079,22
171279703001056,17127,17
510690511021049,51069,51
170978603011000,17097,17
060590762011013,06059,06
350490103122020,35049,35
450190033001000,45019,45
040136163001046,04013,04
060290060073016,06029,06
180973908001060,18097,18
220510278031007,22051,22
160519602003025,16051,16
401255010031126,40125,40
480291205017005,48029,48
060372044202005,06037,06
060855048021014,06085,06
121130108191015,12113,12
181819582002026,18181,18
420010306001065,42001,42
450830218031014,45083,45
061030011001073,06103,06
201770024001092,20177,20
401430094023017,40143,40
180973507002015,18097,18
401091087012012,40109,40
371639705002020,37163,37
171194015001018,17119,17
481130111051000,48113,48
050310002003022,05031,05
120860010041018,12086,12
450830220032001,45083,45
482012330021004,48201,48
290190005001025,29019,29
080439784001032,08043,08
060710003031007,06071,06
060290041013019,06029,06
170314308001009,17031,17
060650433081002,06065,06
291892120011021,29189,29
040131116021000,04013,04
120050024003041,12005,12
211130604002014,21113,21
310339549004051,31033,31
482150241101012,48215,48
530530718072018,53053,53
450630211162000,45063,45
060371991201003,06037,06
517402115001060,51740,51
040030012003004,04003,04
360810460001002,36081,36
484391012022080,48439,48
080130125104038,08013,08
060371060101044,06037,06
400239669001027,40023,40
060375764021001,06037,06
410470010003036,41047,41
401155743001020,40115,40
080710005002033,08071,08
484690015041041,48469,48
360610032007002,36061,36
120690312041185,12069,12
400013768001016,40001,40
060310012002065,06031,06
060590992321005,06059,06
261635468004011,26163,26
391390011001004,39139,39
220710017511249,22071,22
171990210003049,17199,17
400510004002037,40051,40
040134223021010,04013,04
060670099004067,06067,06
131210035001020,13121,13
510818802002088,51081,51
470370187003002,47037,47
060730065001013,06073,06
481410039034022,48141,48
100010402022019,10001,10
490139405004000,49013,49
481130190273004,48113,48
481130190273004,48113,48
350010045023003,35001,35
211939703002015,21193,21
530050110024007,53005,53
060372735022010,06037,06
060374335031005,06037,06
511552102012047,51155,51
371830542081047,37183,37
360272101012003,36027,36
040210023001451,04021,04
360750206002080,36075,36
220510278121001,22051,22
530530626001103,53053,53
121090209023020,12109,12
120310135212000,12031,12
060590320493015,06059,06
150030040001006,15003,15
260770020032029,26077,26
121090214051014,12109,12
172010018002005,17201,17
060670017005007,06067,06
170318272004028,17031,17
060730087023003,06073,06
121030242002004,12103,12
350279606004109,35027,35
510131020032004,51013,51
050850202053003,05085,05
080770002001016,08077,08
420710002002020,42071,42
210590017022081,21059,21
310550062024006,31055,31
391535329992001,39153,39
560050007001036,56005,56
481410001101005,48141,48
120110428001037,12011,12
450190057002006,45019,45
340030232003014,34003,34
450190001001003,45019,45
421110208001014,42111,42
291019609004004,29101,29
040019705022073,04001,04
261635373003003,26163,26
484530015033005,48453,48
010890029211017,01089,01
360471104002009,36047,36
220150107014000,22015,22
530610522091011,53061,53
340258006014004,34025,34
401091081091009,40109,40
132379601021041,13237,13
060375750022003,06037,06
060730213022120,06073,06
450570111002000,45057,45
080010085053009,08001,08
130459107012030,13045,13
261635943002003,26163,26
340030312003007,34003,34
401110006003080,40111,40
410333615001007,41033,41
040250020021011,04025,04
470370158021001,47037,47
480019508002031,48001,48
360550141022005,36055,36
250251105012014,25025,25
484391142051004,48439,48
481390611002048,48139,48
482013211001050,48201,48
340373742001050,34037,34
060290046044025,06029,06
350619707002021,35061,35
060830023051011,06083,06
540610118052005,54061,54
121150027212070,12115,12
060530101012002,06053,06
483290003024003,48329,48
080050071011030,08005,08
060014050003010,06001,06
120090648002010,12009,12
530150015025006,53015,53
060590865013007,06059,06
040130715062012,04013,04
390630010001013,39063,39
482015555021049,48201,48
390610078001012,39061,39
191530008034013,19153,19
360050383022000,36005,36
120110108001029,12011,12
120860034004000,12086,12
480291215044001,48029,48
340030232003006,34003,34
180670008001011,18067,18
180030008001014,18003,18
211110051003004,21111,21
481130169022001,48113,48
120090625001014,12009,12
060170316004002,06017,06
061070019024006,06107,06
380059402002049,38005,38
010210601024001,01021,01
350250005031017,35025,35
360470360011001,36047,36
250259815011058,25025,25
390610056004007,39061,39
081230005022013,08123,08
170314306001009,17031,17
060374043011000,06037,06
482015532003002,48201,48
371939612001005,37193,37
060670081371001,06067,06
132450105104009,13245,13
420035624001014,42003,42
180973226003018,18097,18
201550004004011,20155,20
483671402003030,48367,48
310550074723015,31055,31
511990503063032,51199,51
240054924022000,24005,24
060390001024039,06039,06
360339504005001,36033,36
480291717003004,48029,48
400219780002054,40021,40
410510094002014,41051,41
360910605021097,36091,36
371139703013011,37113,37
410333601001070,41033,41
250235116004002,25023,25
060730170291080,06073,06
120310161004020,12031,12
060379010101001,06037,06
340076010001025,34007,34
120860040005020,12086,12
060374081341013,06037,06
401091074013010,40109,40
470631003002027,47063,47
517000303006003,51700,51
320030051051036,32003,32
060014506072044,06001,06
484530011001065,48453,48
060375551042009,06037,06
484530018213012,48453,48
401091071042004,40109,40
330099603004146,33009,33
060371061112030,06037,06
060470008022010,06047,06
481576706012006,48157,48
040134219024004,04013,04
481130042013004,48113,48
060290031221000,06029,06
482150238012036,48215,48
340010015001001,34001,34
290950151001129,29095,29
210930009014027,21093,21
410670305011002,41067,41
490211101002066,49021,49
040131039002002,04013,04
170316909002006,17031,17
060871205004024,06087,06
290950087002019,29095,29
060372162001001,06037,06
320030029381001,32003,32
132171009021000,13217,13
170314909021000,17031,17
061150406001000,06115,06
080310045033009,08031,08
484530017692024,48453,48
170318120005006,17031,17
560250008003066,56025,56
120110429004014,12011,12
130890219103006,13089,13
060930011001280,06093,06
060372733001010,06037,06
120690312031153,12069,12
261339701002046,26133,26
550790913003013,55079,55
120860113005006,12086,12
202090433011012,20209,20
470650114111020,47065,47
560210002003031,56021,56
010399623003005,01039,01
060650425191003,06065,06
530330025002013,53033,53
060710251001101,06071,06
471570217311002,47157,47
480610139023021,48061,48
120950137023011,12095,12
080690011102000,08069,08
040130924021001,04013,04
201939531001109,20193,20
390610023001008,39061,39
482450116002028,48245,48
130159601023035,13015,13
120110506012006,12011,12
133059702002001,13305,13
550459605004002,55045,55
421010361001010,42101,42
401091004002016,40109,40
391130804002010,39113,39
450510602042020,45051,45
560099566003217,56009,56
060610219023052,06061,06
270530265071024,27053,27
060371439012013,06037,06
371690704003008,37169,37
220710007024014,22071,22
130879702002136,13087,13
320030005231018,32003,32
120010021021047,12001,12
220170223002015,22017,22
450630211151000,45063,45
221090012011006,22109,22
080130122022009,08013,08
350130002012001,35013,35
490050008003007,49005,49
320050010002006,32005,32
060930011002029,06093,06
484391233002100,48439,48
060375021002042,06037,06
350010015002028,35001,35
350050002012050,35005,35
040190026041004,04019,04
060014010005000,06001,06
420750040001028,42075,42
511455001022010,51145,51
180350015002002,18035,18
060730187001258,06073,06
170190102045024,17019,17
211110049001092,21111,21
550791202011000,55079,55
150090311011001,15009,15
517600411002017,51760,51
470370156281006,47037,47
530530626001090,53053,53
211170636032001,21117,21
481410008001031,48141,48
484391115231012,48439,48
320030029411003,32003,32
060190042072014,06019,06
371470005022000,37147,37
060375702032012,06037,06
450350105031004,45035,45
370710317042017,37071,37
530630004002013,53063,53
400198928001022,40019,40
060855037102001,06085,06
160179503001013,16017,16
483090011001000,48309,48
481350006006004,48135,48
060014030001003,06001,06
060650435042040,06065,06
390950053001002,39095,39
350250007041004,35025,35
060372361003005,06037,06
360850319012000,36085,36
482599705002022,48259,48
240338024082000,24033,24
090135291003030,09013,09
060855090001002,06085,06
325100009002009,32510,32
250235221023014,25023,25
060855032132000,06085,06
482659606001003,48265,48
482012117003002,48201,48
060855120171008,06085,06
295101123001000,29510,29
261251501001012,26125,26
530659509001209,53065,53
370879205001036,37087,37
060710019062005,06071,06
391670213002051,39167,39
011250127001035,01125,01
530459612002037,53045,53
371830542041015,37183,37
270614807004127,27061,27
060290003004008,06029,06
510990404002010,51099,51
360010132004010,36001,36
320030030052002,32003,32
120310106001016,12031,12
010439641004030,01043,01
340297132021020,34029,34
371510315042032,37151,37
350490103141047,35049,35
420293025001018,42029,42
120570103031004,12057,12
040131121002021,04013,04
120860002201003,12086,12
471650212012007,47165,47
