FIPS:State,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,FIPS:Block,FIPS:County,Cantidad de Casos
01,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
02,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
04,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192
05,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
06,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632
08,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
09,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
12,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302
13,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
16,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
17,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
18,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
19,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
20,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
21,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
22,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
23,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
24,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
25,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
26,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
27,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
28,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
29,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
31,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
32,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
33,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
34,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
35,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
36,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
37,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131
38,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
39,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
40,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134
41,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
42,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
44,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
45,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
46,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
47,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
48,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392
49,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
50,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
51,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
53,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
54,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
55,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
56,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
