date_my;state;coef
2013-01;AK;0.07
2013-01;AL;0.075
2013-01;AR;0.074
2013-01;AZ;0.079
2013-01;CA;0.096
2013-01;CO;0.074
2013-01;CT;0.082
2013-01;DE;0.072
2013-01;FL;0.079
2013-01;GA;0.087
2013-01;HI;0.051
2013-01;IA;0.049
2013-01;ID;0.067
2013-01;IL;0.092
2013-01;IN;0.085
2013-01;KS;0.056
2013-01;KY;0.081
2013-01;LA;0.07
2013-01;MA;0.068
2013-01;MD;0.069
2013-01;ME;0.071
2013-01;MI;0.091
2013-01;MN;0.053
2013-01;MO;0.069
2013-01;MS;0.089
2013-01;MT;0.056
2013-01;NC;0.089
2013-01;ND;0.031
2013-01;NE;0.039
2013-01;NH;0.055
2013-01;NJ;0.09
2013-01;NM;0.07
2013-01;NV;0.104
2013-01;NY;0.081
2013-01;OH;0.075
2013-01;OK;0.053
2013-01;OR;0.085
2013-01;PA;0.079
2013-01;RI;0.095
2013-01;SC;0.084
2013-01;SD;0.04
2013-01;TN;0.079
2013-01;TX;0.065
2013-01;UT;0.05
2013-01;VA;0.058
2013-01;VT;0.046
2013-01;WA;0.074
2013-01;WI;0.07
2013-01;WV;0.073
2013-01;WY;0.051
2013-02;AK;0.07
2013-02;AL;0.074
2013-02;AR;0.074
2013-02;AZ;0.079
2013-02;CA;0.094
2013-02;CO;0.073
2013-02;CT;0.081
2013-02;DE;0.071
2013-02;FL;0.078
2013-02;GA;0.086
2013-02;HI;0.051
2013-02;IA;0.049
2013-02;ID;0.066
2013-02;IL;0.093
2013-02;IN;0.084
2013-02;KS;0.055
2013-02;KY;0.081
2013-02;LA;0.071
2013-02;MA;0.069
2013-02;MD;0.068
2013-02;ME;0.071
2013-02;MI;0.091
2013-02;MN;0.052
2013-02;MO;0.068
2013-02;MS;0.089
2013-02;MT;0.056
2013-02;NC;0.088
2013-02;ND;0.031
2013-02;NE;0.039
2013-02;NH;0.054
2013-02;NJ;0.089
2013-02;NM;0.07
2013-02;NV;0.103
2013-02;NY;0.081
2013-02;OH;0.076
2013-02;OK;0.053
2013-02;OR;0.084
2013-02;PA;0.078
2013-02;RI;0.094
2013-02;SC;0.084
2013-02;SD;0.039
2013-02;TN;0.08
2013-02;TX;0.065
2013-02;UT;0.049
2013-02;VA;0.058
2013-02;VT;0.045
2013-02;WA;0.073
2013-02;WI;0.07
2013-02;WV;0.071
2013-02;WY;0.05
2013-03;AK;0.07
2013-03;AL;0.073
2013-03;AR;0.074
2013-03;AZ;0.079
2013-03;CA;0.093
2013-03;CO;0.072
2013-03;CT;0.081
2013-03;DE;0.071
2013-03;FL;0.076
2013-03;GA;0.086
2013-03;HI;0.05
2013-03;IA;0.049
2013-03;ID;0.065
2013-03;IL;0.093
2013-03;IN;0.083
2013-03;KS;0.055
2013-03;KY;0.081
2013-03;LA;0.072
2013-03;MA;0.069
2013-03;MD;0.068
2013-03;ME;0.07
2013-03;MI;0.09
2013-03;MN;0.052
2013-03;MO;0.068
2013-03;MS;0.089
2013-03;MT;0.055
2013-03;NC;0.086
2013-03;ND;0.03
2013-03;NE;0.039
2013-03;NH;0.053
2013-03;NJ;0.087
2013-03;NM;0.069
2013-03;NV;0.102
2013-03;NY;0.08
2013-03;OH;0.076
2013-03;OK;0.054
2013-03;OR;0.083
2013-03;PA;0.077
2013-03;RI;0.093
2013-03;SC;0.082
2013-03;SD;0.039
2013-03;TN;0.081
2013-03;TX;0.065
2013-03;UT;0.048
2013-03;VA;0.058
2013-03;VT;0.045
2013-03;WA;0.073
2013-03;WI;0.07
2013-03;WV;0.069
2013-03;WY;0.049
2013-04;AK;0.07
2013-04;AL;0.072
2013-04;AR;0.074
2013-04;AZ;0.079
2013-04;CA;0.092
2013-04;CO;0.071
2013-04;CT;0.08
2013-04;DE;0.07
2013-04;FL;0.075
2013-04;GA;0.085
2013-04;HI;0.049
2013-04;IA;0.049
2013-04;ID;0.064
2013-04;IL;0.092
2013-04;IN;0.081
